Postcode - Incident,Offence count,Coordinates,Latitude,Longitude
5210,715.0,"(-35.34565549285714, 138.62742632142857)",-35.34565549285714,138.62742632142857
5211,7781.0,"(-35.53230935180723, 138.59919866024097)",-35.53230935180723,138.59919866024097
5212,1053.0,"(-35.52724928, 138.68452712)",-35.52724928,138.68452712
5213,773.0,"(-35.4839755, 138.7084961)",-35.4839755,138.7084961
5214,4880.0,"(-35.50233124347826, 138.79061791304346)",-35.50233124347826,138.79061791304346
5220,102.0,"(-35.7837925, 137.2565083)",-35.7837925,137.2565083
5221,110.0,"(-35.78126475, 137.763907775)",-35.78126475,137.763907775
5222,281.0,"(-35.783700911764704, 137.92311842941177)",-35.783700911764704,137.92311842941177
5223,1567.0,"(-35.71384021111111, 137.46378890972224)",-35.71384021111111,137.46378890972224
5231,370.0,"(-34.80107775, 138.83856415)",-34.80107775,138.83856415
5232,163.0,"(-34.67999065, 138.895813675)",-34.67999065,138.895813675
5233,396.0,"(-34.82069968333333, 138.89182578333333)",-34.82069968333333,138.89182578333333
5234,562.0,"(-34.8185158, 138.959830725)",-34.8185158,138.959830725
5235,667.0,"(-34.728508264285715, 139.06058104285714)",-34.728508264285715,139.06058104285714
5236,139.0,"(-34.8215166, 139.0665391)",-34.8215166,139.0665391
5237,138.0,"(-34.8249996, 139.19096934)",-34.8249996,139.19096934
5238,2455.0,"(-34.847225009375, 139.45854543125)",-34.847225009375,139.45854543125
5240,98.0,"(-34.928212, 138.8292735)",-34.928212,138.8292735
5241,671.0,"(-34.9056759, 138.8720486375)",-34.9056759,138.8720486375
5242,432.0,"(-34.98937058, 138.82249934)",-34.98937058,138.82249934
5243,237.0,"(-34.99174295, 138.85232115)",-34.99174295,138.85232115
5244,1005.0,"(-34.93366395625, 138.913296925)",-34.93366395625,138.913296925
5245,1084.0,"(-35.03003650833333, 138.8082719916667)",-35.03003650833333,138.8082719916667
5250,1047.0,"(-35.05248498666667, 138.85176387333334)",-35.05248498666667,138.85176387333334
5251,9525.0,"(-35.07494212692308, 138.86846753461538)",-35.07494212692308,138.86846753461538
5252,1477.0,"(-35.03654819259259, 138.9232128148148)",-35.03654819259259,138.9232128148148
5253,23296.0,"(-35.120235928571425, 139.30919332)",-35.120235928571425,139.30919332
5254,1080.0,"(-35.06997142631579, 139.19851465789472)",-35.06997142631579,139.19851465789472
5255,3416.0,"(-35.271583595652174, 138.95672048695653)",-35.271583595652174,138.95672048695653
5256,633.0,"(-35.42348526666667, 138.97619285)",-35.42348526666667,138.97619285
5259,419.0,"(-35.39586320769231, 139.36362311538463)",-35.39586320769231,139.36362311538463
5260,2036.0,"(-35.2690585, 139.47951242857144)",-35.2690585,139.47951242857144
5261,130.0,"(-35.55270082, 139.73535497999998)",-35.55270082,139.73535497999998
5262,109.0,"(-36.82902425, 140.918746625)",-36.82902425,140.918746625
5263,42.0,"(-37.29423076666667, 140.83588593333332)",-37.29423076666667,140.83588593333332
5264,812.0,"(-35.78852835714286, 139.44170225714285)",-35.78852835714286,139.44170225714285
5265,303.0,"(-35.710498828571424, 139.82744667142856)",-35.710498828571424,139.82744667142856
5266,252.0,"(-36.03311755, 139.8969025)",-36.03311755,139.8969025
5267,937.0,"(-36.1105859, 140.39519869)",-36.1105859,140.39519869
5268,1756.0,"(-36.34258175, 140.75833834000002)",-36.34258175,140.75833834000002
5269,107.0,"(-36.3786472, 140.905179675)",-36.3786472,140.905179675
5270,122.0,"(-36.38258283333333, 140.53912151666668)",-36.38258283333333,140.53912151666668
5271,3366.0,"(-36.93920237083333, 140.704541325)",-36.93920237083333,140.704541325
5272,265.0,"(-37.08113897142857, 140.3257082)",-37.08113897142857,140.3257082
5273,12.0,"(-36.9417631, 140.230672)",-36.9417631,140.230672
5275,888.0,"(-36.831687225, 139.87378667916667)",-36.831687225,139.87378667916667
5276,718.0,"(-37.17255410882353, 139.7847801264706)",-37.17255410882353,139.7847801264706
5277,1199.0,"(-37.40341425454545, 140.8207856909091)",-37.40341425454545,140.8207856909091
5278,189.0,"(-37.54361398, 140.72168734000002)",-37.54361398,140.72168734000002
5279,231.0,"(-37.517696725, 140.5295986625)",-37.517696725,140.5295986625
5280,3802.0,"(-37.552366236585364, 140.28706834146342)",-37.552366236585364,140.28706834146342
5290,23181.0,"(-37.83861039727891, 140.7925725068027)",-37.83861039727891,140.7925725068027
5291,2606.0,"(-37.85037956049383, 140.76457295555556)",-37.85037956049383,140.76457295555556
5301,186.0,"(-35.39566038181818, 140.060375)",-35.39566038181818,140.060375
